reaction_id,reaction_name,reaction_reaction,flux
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",12dgr140_p --> 12dgr140_c,9.06958498597753e-12
13PPDH,"1,3-propanediol dehydrogenase",3hppnl_c + h_c + nadh_c <=> 13ppd_c + nad_c,-1.734723475976807e-18
1P2CBXLCYCL,1 Pyrroline 2 carboxylate cyclation,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,-1.0635593685325248e-12
1P2CBXLR,Delta1 piperideine 2 carboxylate reductase,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,2.9064990912122842e-11
23CTI1,Decenyl coa cis trans isomerization  cis dec 3 enoyl CoA ,decoa_c --> dc2coa_c + h_c,2.126683713537725e-12
23CTI2,Dodecenyl coa cis trans isomerization  cis dodec 3 enoyl CoA ,dded3coa_c --> dd2coa_c,3.5618480036826865e-10
23CTI3,Cis trans isomerization  cis trans isomerization  3Z 6Z dodec dienoyl CoA ,dd_3_6_coa_c --> dd6_2_coa_c,4.736202093910077e-17
24DECOAR,2 4 dienoyl CoA reductase,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,2.7239675841823535e-17
25DKGLCNt2rpp,2 5 diketo D gluconate transport via proton symport  reversible  periplasm ,25dkglcn_p + h_p --> 25dkglcn_c + h_c,2.124558058197365e-12
25DKGLCNtex,2 5 diketo D gluconate transport via diffusion  extracellular to periplasm ,25dkglcn_e <=> 25dkglcn_p,2.1245586346155986e-12
26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",26dap__M_e <=> 26dap__M_p,1.4578761745777114e-12
2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),2ddecg3p_p --> 2ddecg3p_c,1.3804661114248454e-12
2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),2tdec7eg3p_p --> 2tdec7eg3p_c,1.1753889995707156e-12
2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),2hdecg3p_p --> 2hdecg3p_c,1.7566521253810716e-12
2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),2hdec9eg3p_p --> 2hdec9eg3p_c,1.667777579558938e-12
2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),2odec11eg3p_p --> 2odec11eg3p_c,1.7168639167915423e-12
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),2agpe120_p --> 2agpe120_c,1.64048005526817e-12
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2agpe141_p --> 2agpe141_c,1.4297272573812364e-12
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),2agpe160_p --> 2agpe160_c,1.5040607846513216e-12
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),2agpe161_p --> 2agpe161_c,1.0615504166642787e-12
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),2agpe180_p --> 2agpe180_c,1.7056290157281017e-12
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),2agpe181_p --> 2agpe181_c,2.2417580245878375e-12
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c,-4.7908978172719286e-14
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c,-2.7000637449163194e-13
2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,8.650137550139753e-13
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c,1.2181690576570406e-12
2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,1.150633154526338e-12
2AGPEAT181,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1),2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,4.043717274373752e-13
2AGPG120tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm),2agpg120_p --> 2agpg120_c,2.844234198069566e-12
2AGPG140tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm),2agpg140_p --> 2agpg140_c,1.9238999813713267e-12
2AGPG141tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm),2agpg141_p --> 2agpg141_c,2.58058410641423e-12
2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2agpg160_p --> 2agpg160_c,3.687055612242269e-12
2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2agpg161_p --> 2agpg161_c,3.207265145057445e-12
2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2agpg180_p --> 2agpg180_c,3.662907864881651e-12
2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2agpg181_p --> 2agpg181_c,3.728986334100778e-12
2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,6.236786077974349e-14
2AGPGAT140,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0),2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c,1.923902336392783e-12
2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,-1.1797134670644266e-13
2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,5.551655241089301e-13
2AGPGAT161,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1),2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c,-8.108565297668942e-15
2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,4.0505821021852553e-13
2AGPGAT181,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1),2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,4.681024803994991e-13
2DDARAA,2-dehydro-3-deoxy-D-arabinonate Aldolase,2ddara_c <=> gcald_c + pyr_c,3.604972223514302e-18
2DGULRx,2-dehydro-L-gulonate reductase (NADH),2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c,2.1245660528863383e-12
2DHGLCK,Dehydrogluconokinase,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c,2.558645966603327e-12
2DHGLCNkt_tpp,2 ketogluconate transporter,2dhglcn_p + h_p --> 2dhglcn_c + h_c,2.5586460260787747e-12
2DHGLCNtex,Ketogluconate transport via diffusion  extracellular to periplasm ,2dhglcn_e <=> 2dhglcn_p,1.9586749653066523e-12
2HH24DDH,2hh24dd hydratase,2hh24dd_c + h2o_c --> 4h2kpi_c,2.421207164861069e-12
2HH24DDH1,2hh24dd hydratase,2hh24dd_c + h2o_c --> 24dhhed_c,1.7060312252326771e-12
2INSD,2-Inosose dehydratase,2ins_c --> dkdi_c + h2o_c,4.066831761459537e-12
2PGLYCt6,2 Phosphoglycolate transport inout via proton symport,2pglyc_e + h_e <=> 2pglyc_c + h_c,-1.524934510932743e-12
34DHPACDO,3 4 dihydroxyphenylacetate 2 3 dioxygenase,34dhpacet_c + o2_c --> 5cmhmsa_c + h_c,1.99988338966131e-12
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,34hpp_c + o2_c --> co2_c + hgentis_c,-1.0983584579556916e-13
34dhpactex,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm),34dhpac_e <=> 34dhpac_p,-1.1071649069309059e-12
3AMACHYD,3-aminoacrylate hydrolase,3amac_c + h2o_c + h_c --> msa_c + nh4_c,4.181048226983095e-12
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c,5.26095458602114e-12
3HCINNMH,3-hydroxycinnamate hydroxylase,3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,1.8490690734581973e-12
